Date,Time,Workcenter,Division,Sequence,Destination,Order,Line,Sub,Part,Generic,UserID,baseid,designid,Length,Width,Thickness,glassid,SCH,PROD,LD TM,BuildQty,Comments
19/03/2011,15:51:00,3,1,844,1,60765,,,,,15,2,135,2040,920,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,828,2,60662,,,,,16,2,135,2040,920,40,3,170331CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,1139,5,61023,,,,,17,2,148,2040,870,40,1,170331CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,1048,6,60972,,,,,16,2,150,2040,820,40,2,170331CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,1092,2,60997,,,,,16,2,158,2040,820,40,2,210311CO,21/03/2011,RG,1,Cust Order:34870 Line:1
19/03/2011,15:51:00,3,1,1094,2,60996,,,,,16,2,143,2040,820,40,2,210311CO,21/03/2011,RG,1,Cust Order:34066 Line:1
19/03/2011,15:51:00,3,1,2213,7,61122,,,,,8,2,145,2040,820,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,364,8,61233,,,,,16,2,140,2040,720,40,2,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,224,8,60105,,,,,16,2,159,2040,400,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,240,1,62149,,,,,16,2,159,2040,400,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,173,1,61057,,,,,10,2,147,2340,820,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,173,1,61057,,,,,10,2,147,2340,820,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,328,9,60271,,,,,17,2,135,2340,820,40,5,210311CO,21/03/2011,RG,1,PLEASE STRAP PACKS OF 50
19/03/2011,15:51:00,3,1,328,9,60271,,,,,17,2,135,2340,820,40,5,210311CO,21/03/2011,RG,1,PLEASE STRAP PACKS OF 50
19/03/2011,15:51:00,3,1,330,1,60475,,,,,10,2,145,2040,820,40,1,210311CO,21/03/2011,RG,1,
19/03/2011,15:51:00,3,1,352,10,60275,,,,,17,2,145,2040,820,40,4,170311CO,21/03/2011,RG,1,**PLEASE PUT MIDDLE STRAP ON ALL PACKS**
19/03/2011,15:51:00,3,1,388,2,60100,,,,,16,9,135,2040,920,40,1,170311CO,21/03/2011,RG,1,Cost Order:33545 Line:1 STAIN GRADE
19/03/2011,15:51:00,3,1,464,11,60165,,,,,10,19,160,2040,820,40,2,170311CO,21/03/2011,SG,1,"*STRAP MIDDLE OF BULK PACKS* SO#272217 - MAKIN HOMES. LOT 24, WILLOW GDNS, STH YUNDERUP"
19/03/2011,15:51:00,3,1,3,2,61226,,,,,16,2,161,2340,820,40,5,210311B,21/03/2011,SH,1,Cust Order:34338 Line:1
19/03/2011,15:51:00,3,1,1143,5,61023,,,,,17,3,162,2340,820,40,5,210311CO,21/03/2011,SH,1,
19/03/2011,15:51:00,3,1,1289,1,6118,,,,,18,3,54,2040,820,40,5,210311CO,21/03/2011,SH,1,
19/03/2011,15:51:00,3,1,1133,5,61023,,,,,17,3,163,2040,820,40,5,210311CO,21/03/2011,SH,1,
19/03/2011,15:51:00,3,1,15,1,61258,,,,,17,3,22,2040,820,40,5,210311B,21/03/2011,SH,1,
19/03/2011,15:51:00,3,1,372,2,60096,,,,,16,2,164,2340,920,40,5,170311CO,21/03/2011,SS,1,Cust Order:33404 Line:1
19/03/2011,15:51:00,3,1,592,12,60280,,,,,16,22,165,2340,820,40,5,170311CO,21/03/2011,SS,5,STAIN GRADE
19/03/2011,15:51:00,3,1,580,10,60275,,,,,17,2,145,2040,820,40,4,170311CO,21/03/2011,SZ,1,**PLEASE PUT MIDDLE STRAP ON ALL PACKS**
19/03/2011,15:51:00,3,1,536,7,60244,,,,,18,19,160,2040,820,40,1,170311CO,21/03/2011,SZ,1,RH STD REB
19/03/2011,15:51:00,3,1,532,7,60244,,,,,18,19,160,2040,820,40,1,170311CO,21/03/2011,SZ,1,RH STD REB
19/03/2011,15:51:00,3,1,24,13,60035,,,,,16,19,166,2040,820,40,1,170311CO,21/03/2011,SZ,1,RH STD REB
